PID,POS,X,Y
0,1,-120.57004601600,34.44864631730
0,2,-120.60841820400,34.44760256250
0,3,-120.58053792700,34.38883680900
0,4,-120.42875159100,34.40069133320
0,5,-120.50148368500,34.45047227310
0,6,-120.51515754300,34.45011210200
0,7,-120.54211745800,34.44939614800
0,8,-120.57004601600,34.44864631730
1,1,-121.05252076200,35.49309591710
1,2,-120.72961159700,35.10110907040
1,3,-120.66838363200,34.53582591200
1,4,-120.51515754300,34.45011210200
1,5,-120.50148368500,34.45047227310
1,6,-120.60517206400,34.52120745780
1,7,-120.65836531400,35.11781904980
1,8,-121.03835907800,35.49373335890
1,9,-121.05252076200,35.49309591710
2,1,-121.92354238400,36.63375919930
2,2,-121.95541616900,36.64060046530
2,3,-121.92233757900,36.31502996690
2,4,-121.81373541100,36.24817841170
2,5,-121.58317353900,36.07342211160
2,6,-121.05252076200,35.49309591710
2,7,-121.03835907800,35.49373335890
2,8,-121.56391965500,36.06917369350
2,9,-121.88855476300,36.31328821040
2,10,-121.90702422500,36.39067069240
2,11,-121.92354238400,36.63375919930
3,1,-124.10463165500,40.09758183700
3,2,-124.12880494600,40.09592386450
3,3,-123.80267432200,39.71725276160
3,4,-123.75661389100,38.88874555180
3,5,-123.01103547000,38.19501866750
3,6,-123.03777098600,37.98647551880
3,7,-122.51820119000,37.41913975450
3,8,-122.44340175800,37.22435074330
3,9,-122.15280971000,36.95729773050
3,10,-122.11402492800,36.95970867160
3,11,-122.41970382900,37.24220246740
3,12,-122.52093106000,37.80898867540
3,13,-123.00178601900,37.99939872090
3,14,-122.97428794100,38.20262959270
3,15,-123.72372582500,38.89431589350
3,16,-123.76632308100,39.71953141460
3,17,-124.10463165500,40.09758183700
4,1,-124.39096404400,40.41296803790
4,2,-124.44019585500,40.41373745390
4,3,-124.38832210500,40.38060903500
4,4,-124.36415363300,40.30120692880
4,5,-124.37274037600,40.25028359170
4,6,-124.12880494600,40.09592386450
4,7,-124.10463165500,40.09758183700
4,8,-124.33829099200,40.25037532760
4,9,-124.39096404400,40.41296803790
5,1,-124.60774623800,42.87971708890
5,2,-124.46043932600,42.60633323130
5,3,-124.46884544900,42.28830744380
5,4,-124.36220899000,41.99763714510
5,5,-124.17383999600,41.40483485930
5,6,-124.22116734800,41.00484663710
5,7,-124.26319896100,40.81424864370
5,8,-124.40968433700,40.65830259880
5,9,-124.49736763200,40.48679319560
5,10,-124.44019585500,40.41373745390
5,11,-124.39096404400,40.41296803790
5,12,-124.13007648600,40.96396487680
5,13,-124.05828231500,41.48268089400
5,14,-124.25008968500,42.00527018390
5,15,-124.44757773700,42.28376084280
5,16,-124.40026965500,42.59805856600
5,17,-124.55338402500,42.86023598820
5,18,-124.60774623800,42.87971708890
6,1,-124.06004806400,46.29244396990
6,2,-124.12975730300,46.28817621420
6,3,-124.07645356700,45.88164282070
6,4,-124.07996105900,45.22658292250
6,5,-124.09700511900,44.90060761660
6,6,-124.16917988900,44.56234821330
6,7,-124.20141205100,43.80688809860
6,8,-124.48735573800,43.11526847730
6,9,-124.60774623800,42.87971708890
6,10,-124.55338402500,42.86023598820
6,11,-124.16479790500,43.80786765850
6,12,-124.09204352600,44.51868830720
6,13,-124.08778521000,44.56751221550
6,14,-123.94758645200,46.12938756280
6,15,-124.06004806400,46.29244396990
7,1,-124.73489185800,48.36158500980
7,2,-124.85203535100,48.09499999780
7,3,-124.54424889900,47.41477687640
7,4,-124.31614257900,46.90687464920
7,5,-124.20356778100,46.58382638100
7,6,-124.12975730300,46.28817621420
7,7,-124.06004806400,46.29244396990
7,8,-123.80114108400,46.64758085620
7,9,-124.07720023300,46.87385068550
7,10,-124.40442946700,47.46063999630
7,11,-124.43407898900,47.67735343500
7,12,-124.71459002300,47.87812707950
7,13,-124.75266833800,48.14296527960
7,14,-124.67575525100,48.36664362710
7,15,-124.73489185800,48.36158500980
8,1,-124.93256300200,48.51743299020
8,2,-124.87121993200,48.34980923830
8,3,-124.79740851200,48.35620469980
8,4,-124.73489185800,48.36158500980
8,5,-124.67575525100,48.36664362710
8,6,-124.73523128500,48.52713426070
8,7,-124.93256300200,48.51743299020
9,1,-124.79740851200,48.35620469980
9,2,-124.95947439800,48.05230182170
9,3,-124.65071813100,47.37166262820
9,4,-124.67532702700,47.06782158520
9,5,-124.47254232300,47.00764494020
9,6,-124.25812840700,46.28020588030
9,7,-124.12975730300,46.28817621420
9,8,-124.20356778100,46.58382638100
9,9,-124.31614257900,46.90687464920
9,10,-124.54424889900,47.41477687640
9,11,-124.85203535100,48.09499999780
9,12,-124.73489185800,48.36158500980
9,13,-124.79740851200,48.35620469980
10,1,-124.12975730300,46.28817621420
10,2,-124.25812840700,46.28020588030
10,3,-124.17482849000,45.80897901840
10,4,-124.14553636300,45.01454809970
10,5,-124.45998369300,44.54341007040
10,6,-124.73241752700,44.29370451300
10,7,-124.45771409300,44.27602396250
10,8,-124.27465537500,43.80176751520
10,9,-124.59649975100,43.21671283420
10,10,-124.55940895900,43.07376735870
10,11,-124.67667655900,42.87911017940
10,12,-124.60774623800,42.87971708890
10,13,-124.48735573800,43.11526847730
10,14,-124.20141205100,43.80688809860
10,15,-124.16917988900,44.56234821330
10,16,-124.09700511900,44.90060761660
10,17,-124.07996105900,45.22658292250
10,18,-124.07645356700,45.88164282070
10,19,-124.12975730300,46.28817621420
11,1,-124.60774623800,42.87971708890
11,2,-124.67667655900,42.87911017940
11,3,-124.57475838800,42.66335093580
11,4,-124.65174799700,42.44864290170
11,5,-124.50307449200,42.34075509720
11,6,-124.46489978700,41.99054171040
11,7,-124.38723332200,41.75252508740
11,8,-124.29150687300,41.26273897470
11,9,-124.30552530300,40.92915778370
11,10,-124.45197717300,40.60886090570
11,11,-124.55106225000,40.51054952880
11,12,-124.51282690600,40.41483022770
11,13,-124.44019585500,40.41373745390
11,14,-124.49736763200,40.48679319560
11,15,-124.40968433700,40.65830259880
11,16,-124.26319896100,40.81424864370
11,17,-124.22116734800,41.00484663710
11,18,-124.17383999600,41.40483485930
11,19,-124.36220899000,41.99763714510
11,20,-124.46884544900,42.28830744380
11,21,-124.46043932600,42.60633323130
11,22,-124.60774623800,42.87971708890
12,1,-124.44019585500,40.41373745390
12,2,-124.51282690600,40.41483022770
12,3,-124.41358858000,40.37935424900
12,4,-124.37799158200,40.29969161320
12,5,-124.40989710900,40.25157875830
12,6,-124.18672280900,40.09192822210
12,7,-124.12880494600,40.09592386450
12,8,-124.37274037600,40.25028359170
12,9,-124.36415363300,40.30120692880
12,10,-124.38832210500,40.38060903500
12,11,-124.44019585500,40.41373745390
13,1,-124.12880494600,40.09592386450
13,2,-124.18672280900,40.09192822210
13,3,-123.85051149700,39.70895398030
13,4,-123.85572712700,38.95631637690
13,5,-123.22026652700,38.30139739280
13,6,-123.16342440600,38.00807320540
13,7,-123.35843135700,38.03584651750
13,8,-122.89920104200,37.59205912690
13,9,-122.53384922100,37.14239489520
13,10,-122.21171586700,36.95339023460
13,11,-122.15280971000,36.95729773050
13,12,-122.44340175800,37.22435074330
13,13,-122.51820119000,37.41913975450
13,14,-123.03777098600,37.98647551880
13,15,-123.01103547000,38.19501866750
13,16,-123.75661389100,38.88874555180
13,17,-123.80267432200,39.71725276160
13,18,-124.12880494600,40.09592386450
14,1,-121.95541616900,36.64060046530
14,2,-121.96077005900,36.61472846380
14,3,-121.95777722000,36.45185515720
14,4,-121.97736720300,36.31277322740
14,5,-121.80660500000,36.22970150030
14,6,-121.59415434700,36.07052226980
14,7,-121.38912400900,35.80489247900
14,8,-121.28730620300,35.67323424950
14,9,-121.18689066700,35.61091617240
14,10,-121.06651724800,35.49246384470
14,11,-121.05252076200,35.49309591710
14,12,-121.58317353900,36.07342211160
14,13,-121.81373541100,36.24817841170
14,14,-121.92233757900,36.31502996690
14,15,-121.95541616900,36.64060046530
15,1,-121.05252076200,35.49309591710
15,2,-121.06651724800,35.49246384470
15,3,-120.94111520500,35.28529979360
15,4,-120.81199586400,35.11283321660
15,5,-120.78783569500,34.73492665170
15,6,-120.69460310300,34.52711221070
15,7,-120.54211745800,34.44939614800
15,8,-120.51515754300,34.45011210200
15,9,-120.66838363200,34.53582591200
15,10,-120.72961159700,35.10110907040
15,11,-121.05252076200,35.49309591710
16,1,-121.09566957000,35.49114074750
16,2,-120.97195789900,35.28917244410
16,3,-120.87803057900,35.14623195020
16,4,-120.81122295000,34.66435499330
16,5,-120.71848913800,34.52101286840
16,6,-120.57004601600,34.44864631730
16,7,-120.54211745800,34.44939614800
16,8,-120.69460310300,34.52711221070
16,9,-120.78783569500,34.73492665170
16,10,-120.81199586400,35.11283321660
16,11,-120.94111520500,35.28529979360
16,12,-121.06651724800,35.49246384470
16,13,-121.09566957000,35.49114074750
17,1,-122.26476710400,36.94984051600
17,2,-122.15410681700,36.85606951510
17,3,-121.82857270900,36.80882314940
17,4,-121.98051135000,36.66802201900
17,5,-121.96735352500,36.53822600470
17,6,-121.96077005900,36.61472846380
17,7,-121.96641645000,36.66041238680
17,8,-121.81507226300,36.80948700860
17,9,-121.81986532400,36.82867041980
17,10,-122.12795562200,36.86853765850
17,11,-122.21171586700,36.95339023460
17,12,-122.26476710400,36.94984051600
18,1,-124.18672280900,40.09192822210
18,2,-124.24691743500,40.08774076010
18,3,-123.93287791400,39.75491608650
18,4,-123.90227210600,38.91894659580
18,5,-123.51404609100,38.51679392740
18,6,-123.34278744900,38.09394098200
18,7,-123.44509163900,38.04743745390
18,8,-122.98645172700,37.63616923230
18,9,-122.94160035300,37.56682781430
18,10,-122.62629582600,37.07426009310
18,11,-122.39816875500,37.02984878860
18,12,-122.26476710400,36.94984051600
18,13,-122.21171586700,36.95339023460
18,14,-122.53384922100,37.14239489520
18,15,-122.89920104200,37.59205912690
18,16,-123.35843135700,38.03584651750
18,17,-123.16342440600,38.00807320540
18,18,-123.22026652700,38.30139739280
18,19,-123.85572712700,38.95631637690
18,20,-123.85051149700,39.70895398030
18,21,-124.18672280900,40.09192822210
19,1,-124.51282690600,40.41483022770
19,2,-124.54323223700,40.41527270770
19,3,-124.44646570900,40.37099730460
19,4,-124.42015260500,40.26060760160
19,5,-124.50317231000,40.25866325680
19,6,-124.24691743500,40.08774076010
19,7,-124.18672280900,40.09192822210
19,8,-124.40989710900,40.25157875830
19,9,-124.37799158200,40.29969161320
19,10,-124.41358858000,40.37935424900
19,11,-124.51282690600,40.41483022770
20,1,-124.74188414300,42.95183146500
20,2,-124.65352067400,42.55772787640
20,3,-124.70348601200,42.46967324830
20,4,-124.58087925400,42.32621716720
20,5,-124.53442583000,41.98568116130
20,6,-124.32667489800,41.10541043740
20,7,-124.39920187800,40.81321605150
20,8,-124.60431401600,40.58878145330
20,9,-124.57123885800,40.51363672360
20,10,-124.54323223700,40.41527270770
20,11,-124.51282690600,40.41483022770
20,12,-124.55106225000,40.51054952880
20,13,-124.45197717300,40.60886090570
20,14,-124.30552530300,40.92915778370
20,15,-124.29150687300,41.26273897470
20,16,-124.38723332200,41.75252508740
20,17,-124.46489978700,41.99054171040
20,18,-124.50307449200,42.34075509720
20,19,-124.65174799700,42.44864290170
20,20,-124.57475838800,42.66335093580
20,21,-124.67667655900,42.87911017940
20,22,-124.74188414300,42.95183146500
21,1,-124.25812840700,46.28020588030
21,2,-124.28676840200,46.27840800610
21,3,-124.43864874300,45.87001112770
21,4,-124.26356063700,45.68441383690
21,5,-124.23588879300,45.01338865280
21,6,-124.58410975600,44.53509393560
21,7,-124.90073368300,44.22738550700
21,8,-124.88193288500,43.95142335910
21,9,-124.55463457800,44.00142589700
21,10,-124.45023528300,43.79063475390
21,11,-124.74188414300,42.95183146500
21,12,-124.67667655900,42.87911017940
21,13,-124.55940895900,43.07376735870
21,14,-124.59649975100,43.21671283420
21,15,-124.27465537500,43.80176751520
21,16,-124.45771409300,44.27602396250
21,17,-124.73241752700,44.29370451300
21,18,-124.45998369300,44.54341007040
21,19,-124.14553636300,45.01454809970
21,20,-124.17482849000,45.80897901840
21,21,-124.25812840700,46.28020588030
22,1,-124.87121993200,48.34980923830
22,2,-125.00820083000,48.05821329380
22,3,-124.98872015400,47.74331257280
22,4,-124.71693133100,47.36277463860
22,5,-124.83552213000,47.06182308490
22,6,-124.58106705200,46.96863343730
22,7,-124.28676840200,46.27840800610
22,8,-124.25812840700,46.28020588030
22,9,-124.47254232300,47.00764494020
22,10,-124.67532702700,47.06782158520
22,11,-124.65071813100,47.37166262820
