NetCDFName,CODE,EMOCCName,VirgBToCurrentB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkateRay_N,SSK,Skates and Rays,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabird_N,SB,Seabirds,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguin_N,SP,Penguins,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_O_Fish_N,FVO,Other Tuna,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_T_Fish_N,FVT,Large Pelagics,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_P_Fish_N,FDP,Protected Demersal Fish,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_DC_Fish_N,FDC,Other Demersal Fish,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinniped_N,PIN,Pinnipeds,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whale_Baleen_N,WHB,Baleen Whales,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whale_Tooth_N,WHT,Toothed Whales,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whale_Small_N,WHS,Sm. Toothed Whales,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reptile_N,REP,Reptiles,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugong_N,WDG,Dugongs,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
