"","x"
"191","Demersal_B_Fish3_StructN"
"192","Demersal_B_Fish4_StructN"
"193","Demersal_B_Fish5_StructN"
"194","Demersal_B_Fish6_StructN"
"195","Demersal_B_Fish7_StructN"
"196","Demersal_B_Fish8_StructN"
"197","Demersal_B_Fish9_StructN"
"198","Demersal_B_Fish10_StructN"
"199","Demersal_DC_Fish1_StructN"
"200","Demersal_DC_Fish2_StructN"
"201","Demersal_DC_Fish3_StructN"
"202","Demersal_DC_Fish4_StructN"
"203","Demersal_DC_Fish5_StructN"
"204","Demersal_DC_Fish6_StructN"
"205","Demersal_DC_Fish7_StructN"
"206","Demersal_DC_Fish8_StructN"
"207","Demersal_DC_Fish9_StructN"
"208","Demersal_DC_Fish10_StructN"
"209","Demersal_O_Fish1_StructN"
"210","Demersal_O_Fish2_StructN"
"211","Demersal_O_Fish3_StructN"
"212","Demersal_O_Fish4_StructN"
"213","Demersal_O_Fish5_StructN"
"214","Demersal_O_Fish6_StructN"
"215","Demersal_O_Fish7_StructN"
"216","Demersal_O_Fish8_StructN"
"217","Demersal_O_Fish9_StructN"
"218","Demersal_O_Fish10_StructN"
"219","Demersal_E_Fish1_StructN"
"220","Demersal_E_Fish2_StructN"
"221","Demersal_E_Fish3_StructN"
"222","Demersal_E_Fish4_StructN"
"223","Demersal_E_Fish5_StructN"
"224","Demersal_E_Fish6_StructN"
"225","Demersal_E_Fish7_StructN"
"226","Demersal_E_Fish8_StructN"
"227","Demersal_E_Fish9_StructN"
"228","Demersal_E_Fish10_StructN"
"229","Demersal_F_Fish1_StructN"
"230","Demersal_F_Fish2_StructN"
"231","Demersal_F_Fish3_StructN"
"232","Demersal_F_Fish4_StructN"
"233","Demersal_F_Fish5_StructN"
"234","Demersal_F_Fish6_StructN"
"235","Demersal_F_Fish7_StructN"
"236","Demersal_F_Fish8_StructN"
"237","Demersal_F_Fish9_StructN"
"238","Demersal_F_Fish10_StructN"
"239","Shark_B1_StructN"
"240","Shark_B2_StructN"
"241","Shark_B3_StructN"
"242","Shark_B4_StructN"
"243","Shark_B5_StructN"
"244","Shark_B6_StructN"
"245","Shark_B7_StructN"
"246","Shark_B8_StructN"
